Job Title,Company,Location,Job Description,Job link
List of Short-Term Policy Programs,Horizon Institute for Public Service,"Washington, DC, ▪ ...","This is a list of short-term policy programs that could be good career capital opportunities.
Many think tanks and nonprofits offer short-term policy seminars, workshops, and fellowships that provide educational and networking opportunities, particularly for students and early-career professionals. 
These programs run from 2-3 days to 6 weeks, which may be free or offer scholarships. 
Join seminars and workshops facilitated by both partisan and non-partisan organisations.",https://emergingtechpolicy.org/pathways/short-term-policy-programs/
Enterprise Security Lead,OpenAI,"San Francisco Bay Area, ▪ ...","In this role, you'll lead the team securing OpenAI's internal enterprise environments while balancing protection, user experience, and operational scalability.
Lead and grow a team of security engineers, setting strategy and cultivating operational excellence.
Implement defense-in-depth and zero trust principles across macOS, Windows, Linux, SaaS, and custom infrastructure.
Partner with cross-functional teams to maintain a productive, secure AI lab environment.
Champion AI and automation to improve security posture against sophisticated adversaries.",https://openai.com/careers/enterprise-security-lead-san-francisco/
"Research Associate, Artificial Intelligence",Council on Foreign Relations,"Washington, DC, ▪ ...","In this role, you'll monitor and research artificial intelligence developments, focusing on policy, governance, and national security implications.
Draft articles, blog posts, white papers, and analyses on technology policy topics.
Provide administrative support including budget management, event coordination, and media response.
Coordinate events by preparing invitations, arranging travel, and developing background materials.
Assist with financial tracking, interdepartmental collaboration, and editing of program content.",https://careers-cfr.icims.com/jobs/2822/research-associate%2c-artificial-intelligence/job?mode=view
"Engineering Manager, Cloud Security",Anthropic,"San Francisco Bay Area, ▪ Seattle metro area, ▪ ...","In this role, you'll lead the Cloud Security team building secure foundations for Anthropic's AI systems across multi-cloud environments.
Design comprehensive security controls for model weights, customer data, and training datasets.
Build secure-by-default infrastructure that prevents misconfigurations while enabling engineering velocity.
Establish continuous attack surface monitoring and automated remediation systems.
Partner with product, research, and infrastructure teams to embed security requirements into system design from inception through deployment.",https://boards.greenhouse.io/anthropic/jobs/4897424008
Research Program Manager,Constellation,"San Francisco Bay Area, ▪ ...","In this role, you'll design and manage research programs at Constellation aimed at safely navigating transformative AI.
Lead research projects involving people management, coaching, and performance management of junior researchers.
Collaborate with senior researchers and external partners to deliver excellent research support.
Design multi-stakeholder initiatives to recruit, evaluate, match, and place talent in research opportunities.
Support Constellation's efforts to place managed talent in fulltime roles matching their skills and values.",https://www.constellation.org/careers/research-program-manager
"Research Engineer / Scientist, Model Welfare",Anthropic,"San Francisco Bay Area, ▪ ...","In this role, you'll investigate, evaluate, and address concerns about the potential welfare and moral status of AI systems within Anthropic's Model Welfare program.
Design and implement research projects to investigate model characteristics relevant to welfare, consciousness, or related properties.
Develop low-cost interventions to mitigate the risk of welfare harms to AI systems.
Collaborate with Interpretability, Finetuning, Alignment Science, and Safeguards teams.
Evaluate welfare-relevant capabilities and characteristics as models scale, improving assessments for future models.",https://boards.greenhouse.io/anthropic/jobs/4812169008
Senior AI Security Researcher,"Carnegie Mellon University, Software Engineering Institute","Pittsburgh, PA, ▪ ...","In this role, you'll develop and apply state-of-the-art approaches for analyzing AI system robustness and security vulnerabilities.
Reverse engineer malicious code and AI systems to identify emerging threats and develop new analysis methods.
Evaluate effectiveness of AI security tools, techniques and processes from industry and research communities.
Develop thought models, tools and datasets to characterize threats to AI systems and publish findings.
Mentor others and contribute to the broader AI security community while shaping national AI security strategy.",https://cmu.wd5.myworkdayjobs.com/en-US/SEI/job/Pittsburgh-PA/Senior-AI-Security-Researcher_2022900-1
Applied AI / ML Researcher,"Massachusetts Institute of Technology, Lincoln Laboratory","Washington, DC, ▪ ...","In this role, you'll apply AI/ML expertise to develop innovative cyber security solutions that enhance national defense capabilities.
Architect and develop cutting-edge data analysis and software solutions for novel applications of AI/ML.
Collaborate with interdisciplinary teams to rapidly acquire new skills and expand your technical capabilities.
Contribute to project leadership and knowledge sharing through publications and presentations.
Dive deep with real data and systems to solve complex, open-ended problems in cyber security operations.",https://careers.ll.mit.edu/job/Lexington-Applied-AIML-Researcher-MA-02420/1288187600/
Corporate Security Manager,OpenAI,"Washington, DC, ▪ ...","In this role, you'll lead day-to-day security operations in Washington, DC and support physical security strategies throughout the Americas.
Develop and implement physical security measures to protect employees and visitors in the DC office.
Support global security operations by assisting with assessments, incident response, and mitigation strategies.
Coordinate secure operations for internal, external, and offsite events, including occasional travel.
Establish relationships with law enforcement agencies and develop security SOPs and training programs.",https://openai.com/careers/corporate-security-manager-washington-dc/
Physical Security Systems Engineer,OpenAI,"San Francisco Bay Area, ▪ ...","In this role, you'll design, optimize, and maintain advanced physical security systems across OpenAI's expanding global office portfolio.
Implement security technologies including Genetec Security Center, access control, video surveillance, and intrusion detection systems.
Integrate security systems with IT infrastructure while acting as a technical partner to internal teams.
Manage security technology vendors and lead preventative maintenance programs including security patching.
Respond to complex technical issues and mentor junior administrators to build operational excellence.",https://openai.com/careers/physical-security-systems-engineer-san-francisco/
"Machine Learning Research Lead, Security and Policy Research Lab",Scale AI,"San Francisco Bay Area, ▪ New York, NY, ▪ ...","In this role, you'll lead the Scale AI Security and Policy Research Lab's research priorities focusing on agent robustness, AI control protocols, and risk evaluations.
Lead a team of research scientists and engineers on foundational AI safety and security work.
Drive research initiatives on frameworks and benchmarks for frontier AI models.
Design scalable oversight methods leveraging model-assisted evaluation techniques.
Collaborate with industry and academic research labs while publishing findings at top-tier venues.",https://scale.com/careers/4620629005
"Engineering Manager, Secure Frameworks",Anthropic,"San Francisco Bay Area, ▪ Seattle metro area, ▪ ...","In this role, you'll lead the Secure Frameworks team building high-leverage security libraries that prevent vulnerabilities through careful design.
Design frameworks enabling secure handling of sensitive data including model weights and customer information.
Partner with product, research, and infrastructure teams to ensure frameworks integrate with lower-layer security controls.
Make strategic decisions about framework priorities based on security risk and translate into roadmaps.
Manage and grow a team of engineers balancing security rigor with development velocity.",https://boards.greenhouse.io/anthropic/jobs/4921729008
Talent Mobilisation Lead,Constellation,"San Francisco Bay Area, ▪ ...","In this role, you'll lead talent mobilization efforts to connect high-potential individuals with impactful AI safety roles across the ecosystem.
Design and manage research programs hosted at Constellation, partnering with senior researchers.
Provide research management for projects, including people management, coaching, and performance evaluation.
Source promising talent through networks, programs, and referrals for priority positions.
Guide individuals through career transitions and strengthen talent deployment systems across organizational boundaries.",https://www.constellation.org/careers/talent-mobilization-lead
"Senior Project Manager, Events",FAR AI,"San Francisco Bay Area, ▪ Remote, USA, ▪ ...","In this role, you'll lead high-profile AI safety and security events, from international conferences to research workshops.
Develop comprehensive project plans with clear deliverables, timelines, and success metrics.
Manage end-to-end event logistics including venue selection, vendor negotiations, and on-site operations.
Coordinate across internal teams and external stakeholders as the central point of contact.
Identify process improvements and contribute to building scalable event management systems.",https://www.far.ai/careers/senior-project-manager-events
List of Top US Policy Master's Programmes,Various US Universities,"USA, ▪ ...","Working in policy can be among the most effective ways to have a positive impact in areas like AI, biosecurity, animal welfare, or global health. 
Getting a policy master’s degree (e.g. in security studies or public policy) can help you pivot into or accelerate your policy career. 
Click ""View Full List"" to see a list of potential options for policy master's programmes in the US. 
If you are considering this option there's some advice that could be useful in our article on US policy master's degrees.",https://airtable.com/shrC1Dswb9eIiTWzG/tbl2ljqBV2ztwdOSU
"Executive Director, AI Initiative","Stanford University, School of Law","San Francisco Bay Area, ▪ ...","In this role, you'll provide strategic and operational leadership for Stanford Law School's Initiative on AI Governance and Law.
Develop and execute the Initiative's vision, research programs, and public engagement activities.
Manage partnerships with stakeholders across academia, industry, government, and NGOs.
Oversee financial planning, budgets, and staffing strategy for the Initiative.
Secure funding through proposals to foundations, government agencies, and industry partners.",https://careersearch.stanford.edu/jobs/executive-director-ai-initiative-stanford-law-school-29036
Content Editor,Center for AI Safety,"San Francisco Bay Area, ▪ ...","In this role, you'll develop compelling content about AI risks and societal impacts across CAIS's online platforms.
Draft copy for websites and public-facing materials in collaboration with research teams.
Create learning materials for courses including slides, quizzes, and resource compendia.
Propose effective formats and structures for digital content to maximize clarity and engagement.
Conduct quality assurance to ensure accuracy and consistency in tone and messaging.",https://jobs.lever.co/aisafety/b4896108-738d-47eb-9176-c54a1fdeb9d7
"Intern, Russian Language, Warfare, Irregular Threats, and Terrorism Program (Fall / Winter 2025)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll support a project analyzing cooperation between Russia, China, Iran, and North Korea at the CSIS Warfare, Irregular Threats, and Terrorism Program.
Conduct qualitative and quantitative research on Russia's warfighting abilities and strategic partnerships.
Analyze Russian-language primary sources including government statements and social media posts.
Create and maintain datasets to perform analysis and develop data visualizations.
Assist with publications by drafting content and coordinating with the CSIS Dracopoulos iDeas Lab.",https://careers.csis.org/opportunities/1689
"Intern, China Studies (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll provide research support on Taiwan's diplomatic strategy, cross-Strait issues, and China's politics and foreign policy.
Assist with research, analysis, and writing for articles, event summaries, and other projects.
Review Chinese-English translations for accuracy and precision.
Monitor regional media sources and reports.
Perform data analysis and various research tasks under tight deadlines.",https://careers.csis.org/opportunities/1690
Chief Operating Officer,FAR AI,"San Francisco Bay Area, ▪ ...","In this role, you'll lead operations through significant growth, overseeing Finance, People, and Business Operations departments.
Translate organizational strategy into operational execution while scaling systems from 30 to 75 team members.
Develop exceptional operations talent and build a world-class team across multiple functions.
Oversee financial operations for a $10M annual budget, including research funding and grants.
Ensure compliance with global grant requirements, regulatory obligations, and risk management protocols.",https://www.far.ai/careers/chief-operating-officer-coo
Special Projects Manager,Center for AI Safety,"San Francisco Bay Area, ▪ ...","In this role, you'll lead the identification, evaluation, and launch of new AI safety initiatives at the Center for AI Safety.
Partner with leadership to generate project ideas and conduct preliminary research to define goals and metrics.
Develop detailed project plans including objectives, deliverables, timelines, and budgets.
Manage day-to-day execution, ensuring projects stay on scope while monitoring risks and obstacles.
Coordinate with researchers and external partners while maintaining clear documentation and status reports.",https://jobs.lever.co/aisafety/a510a964-6425-405d-b757-cb7bfd19c994
Special Projects Associate,Center for AI Safety,"San Francisco Bay Area, ▪ ...","In this role, you'll partner with leadership to identify, evaluate, and launch new AI safety initiatives from concept to completion.
Conduct preliminary research to define project goals, scope, and success metrics.
Develop detailed project plans including objectives, timelines, resources, and budgets.
Manage day-to-day execution, ensuring projects stay on scope, on time, and within budget.
Coordinate with researchers, vendors, and stakeholders while maintaining clear documentation and reporting.",https://jobs.lever.co/aisafety/9f88e794-4c93-495b-996e-eaf1c0d456f9
"Research Engineer, Training Infrastructure Lead",Goodfire,"San Francisco Bay Area, ▪ ...","In this role, you'll lead and evolve the research platform and training infrastructure that powers AI interpretability breakthroughs.
Design and build customizable training pipelines that scale from experimentation to production.
Architect and implement large-scale model serving infrastructure for interpretability.
Identify and execute opportunities to dramatically accelerate research velocity.
Lead technical decision-making for infrastructure supporting cutting-edge AI research.",https://job-boards.greenhouse.io/goodfire/jobs/4889377008
"Research Engineer, Training Infrastructure",Goodfire,"San Francisco Bay Area, ▪ ...","In this role, you'll lead the development of model training infrastructure that transforms pre-trained models into safe, capable AI systems through fine-tuning and other post-training techniques.
Design and implement scalable post-training pipelines (SFT, RLVR, DPO).
Develop suitable evaluation frameworks for assessing model performance.
Optimize inference-time interventions and model serving for post-trained models.
Collaborate with research teams to rapidly prototype and validate new techniques.",https://job-boards.greenhouse.io/goodfire/jobs/4889498008
Director of Public Engagement,Center for AI Safety,"San Francisco Bay Area, ▪ ...","In this role, you'll lead CAIS's efforts to inform, inspire, and mobilize the public around AI safety and existential risks.
Design and implement multi-channel public awareness strategies with measurable KPIs.
Serve as an organizational spokesperson and coordinate media appearances.
Develop strategic partnerships with media outlets, influencers, and advocacy groups.
Collaborate across teams to ensure messaging aligns with CAIS's research, policy goals, and core values of credibility and scientific rigor.",https://jobs.lever.co/aisafety/03cc11e0-135c-488c-8423-8b7c008ec73b
Senior Software Engineer,CivAI,"San Francisco Bay Area, ▪ ...","In this role, you'll build interactive software demonstrations that educate diverse audiences about AI capabilities and implications.
Develop end-to-end demonstrations with quality UI/UX and robust, performant code for public use.
Create new, meaningful demonstrations that effectively communicate AI concepts to target audiences.
Utilize various frontier AI systems and maintain awareness of AI progress to inform new projects.
Implement security measures to prevent misuse while iterating quickly on lightweight, impactful projects.",https://civai.org/jobs/senior-software-engineer
"Senior Officer, Vaccine Delivery Enablement",Gates Foundation,"Seattle metro area, ▪ ...","In this role, you'll support vaccine delivery strategies and portfolio optimization as a Senior Program Officer on the Immunization Program Strategy team.
Develop investment opportunities and manage grants to achieve program outcomes for priority vaccines.
Collaborate with global partners and represent the foundation on committees related to your expertise.
Provide technical guidance and analysis to internal stakeholders and external constituencies.
Establish partnerships with country officials, Gavi staff, and other Foundation teams to support immunization programs.",https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Senior-Officer--Vaccine-Delivery-Enablement--LTE-_B021250-1
"Trainee, Indo-Pacific Program (Spring 2026)",German Marshall Fund,"Washington, DC, ▪ ...","In this role, you'll provide research and administrative support for GMF's Indo-Pacific Program focusing on US-European approaches to Indo-Pacific challenges.
Conduct research on US and European policy toward the Indo-Pacific region and related policies of Indo-Pacific countries.
Support the China Global podcast with research assistance.
Assist with program communications and coordination of convening activities and events.
Help maintain the program's database of contacts while developing professional skills in international affairs.",https://gmfus.hrmdirect.com/employment/job-opening.php?req=3546185&req_loc=1077820&&#job
Senior ML Research Engineer / Scientist,Model Evaluation and Threat Research,"San Francisco Bay Area, ▪ ...","In this role, the Senior ML Research Engineer/Scientist will drive AI R&D evaluations forward.
Produce tasks and benchmarks to determine if machine learning models are dangerous.
Run experiments to understand the impact of elicitation techniques on evaluation results.
Perform internal evaluations and potentially assist external partners in evaluating AI capabilities.
Improve the tooling for designing and executing robust evaluation procedures.",https://jobs.lever.co/metr/4477967c-a6bd-4b5f-b85b-d4b5335cc653
"Summer Associate, Policy Research",RAND Corporation,"Los Angeles, CA, ▪ Washington, DC, ▪ Pittsburgh, PA, ▪ Boston metro area, ▪ Remote, USA, ▪ ...","In RAND's Summer Associate Program, you'll conduct policy-oriented research in engineering, computer science, math, data science, AI, or physical sciences.
Complete a 12-week research project and present findings to the RAND community.
Work closely with established RAND researchers who provide mentorship throughout your assignment.
Network with researchers across disciplines and attend seminars from internal and external experts.
Apply quantitative and qualitative research methods to address complex policy challenges in a multidisciplinary team environment.",https://rand.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/Santa-Monica-CA-Greater-Los-Angeles-Area/RAND-Summer-Associate-Program---ENGINEERING--COMPUTER-SCIENCE--MATH--DATA-SCIENCE--ARTIFICIAL-INTELLIGENCE---PHYSICAL-SCIENCES_R3370
"Summer Associate, Operations Research",RAND Corporation,"Los Angeles, CA, ▪ Washington, DC, ▪ Pittsburgh, PA, ▪ Boston metro area, ▪ Remote, USA, ▪ ...","In this role, you'll participate in RAND's Summer Associate Program conducting policy-oriented research in operations research, engineering, or management science fields.
Work on a 12-week research project that can be completed during your assignment at RAND.
Collaborate with established RAND researchers who will closely mentor your work.
Present your research findings to the RAND community through a 15-30 minute briefing.
Network with researchers across disciplines while attending seminars from internal and external experts.",https://rand.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/Santa-Monica-CA-Greater-Los-Angeles-Area/RAND-Summer-Associate-Program---OPERATIONS-RESEARCH--INDUSTRIAL-ENGINEERING-SYSTEMS-ENGINEERING--MANAGEMENT-SCIENCE--SUPPLY-CHAIN--RISK-ANALYSIS_R3371
"Fellow, Critical Minerals Security Program",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll advance research and policy at the intersection of critical minerals and national, economic, and energy security.
Collaborate with the Director to develop research projects from inception through completion.
Author high-quality deliverables including reports, white papers, policy briefs, and op-eds.
Conceptualize and lead events such as conferences, panels, and roundtables.
Build relationships with key stakeholders and mentor junior research staff.",https://careers.csis.org/opportunities/1540
Postdoctoral Fellowship,Arms Control Association,"Washington, DC, ▪ ...","In this role, you'll conduct research on the relationship between technology, national security, and the global security environment as a postdoctoral fellow.
Generate new theoretical and empirical insights into technology and international security challenges.
Collaborate with researchers from UC-managed National Laboratories including LLNL and LANL.
Work under the direction of Prof. Neil Narang and the executive committee of security experts.
Contribute to academic discourse through publications, conferences, and policy-relevant research.",https://ucigcc.org/funding/postdoctoral-fellowship/
Government Fellowship,Institute of Electrical and Electronics Engineers,"Washington, DC, ▪ ...","In this role, you'll serve as an advisor to the U.S. government, providing technical expertise while learning about public policy processes.
Contribute scientific and technical knowledge to policymakers in Congress or the Department of State.
Complete a one-year fellowship in Washington D.C. with a $95,000 stipend plus relocation allowance.
Participate in a comprehensive orientation program on government legislative and regulatory processes.
Balance professional project work with learning opportunities while maintaining high ethical standards.",https://ieeeusa.org/public-policy/government-fellowships/
World Fellows Program (2026),"Yale University, Jackson School of Global Affairs","New Haven, CT, ▪ ...","The World Fellows program is a competitive global leadership development initiative.
This is a full-time residential program at Yale University from mid-August through mid-December.
Engage in rigorous activities, mentor students, and contribute to campus discussions as a global leader.
Share your professional achievements and leadership experience with the Yale community.
Develop your critical, creative, and strategic thinking skills while contributing to a global perspective on campus.",https://worldfellows.yale.edu/the-program/application/
IT Coordinator,Constellation,"San Francisco Bay Area, ▪ ...","In this role, you'll provide hands-on IT support and operational assistance to staff, researchers, and visitors.
Manage helpdesk tickets, troubleshoot hardware/software issues, and maintain IT equipment inventory.
Support office operations including security measures, inventory management, and visitor orientation.
Assist with event coordination, space reservations, and setup for workshops and community gatherings.
Collaborate with the Operations team on cross-functional projects and document IT solutions to improve user experience.",https://www.constellation.org/careers/it-coordinator
IT Lead,Constellation,"San Francisco Bay Area, ▪ ...","In this role, you'll manage IT infrastructure and security, supporting staff and visitors in a fast-paced environment.
Maintain enterprise WiFi networks, staff IT systems, and office devices while implementing security protocols.
Develop IT improvement roadmaps, implement infrastructure projects, and manage vendors and service providers.
Lead information security programs including risk assessment, audits, and policy enforcement.
Provide technical support, train team members, and collaborate with Operations on facilities and event logistics.",https://www.constellation.org/careers/senior-it-specialist
Program Associate,GiveWell,"Remote, USA, ▪ Remote, Global, ▪ ...","In this role, you'll provide critical project management support to GiveWell's research team working on life-saving and poverty-alleviating programs.
Manage research and grantmaking workflows, maintaining trackers, timelines, and creating templates to ensure projects stay on track.
Communicate effectively with internal teams and external stakeholders, including grantees, to facilitate smooth information flow.
Maintain high attention to detail across all work outputs, ensuring accuracy in documents, data, and processes.",https://job-boards.greenhouse.io/givewell/jobs/4944026008
Office and Events Manager,GiveWell,"San Francisco Bay Area, ▪ ...","In this role, you'll manage GiveWell's Oakland office, develop in-person events, and support employee experience as part of the People team.
Oversee office facilities in Oakland and support coworking spaces in New York and London, ensuring seamless experiences for employees and guests.
Plan and execute company-wide events including Visit Weeks, team retreats, and occasional donor events.
Build team cohesion and social connection in our remote-first environment through engaging activities and rituals.",https://grnh.se/slqr6squ8us
"Platform and Portfolio Lead, Enterics, Diagnostics, Genomics and Epidemiology (12-Month)",Gates Foundation,"Seattle metro area, ▪ ...","In this role, you'll lead platform and portfolio planning for diagnostics and vaccines within the Enterics, Diagnostics, Genomics, and Epidemiology team.
Develop long-term R&D portfolio optimization and product development plans aligned with strategic goals.
Implement target product profiles and integrated product development plans with foundation partners.
Lead stage gate reviews and maintain awareness of related efforts within the organization.
Identify key risks at portfolio and product levels while developing mitigation strategies.",https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Platform---Portfolio-Lead--Enterics--Diagnostics--Genomics---Epidemiology--12-Month-LTE-_B021227
"Software Engineer, Infrastructure Security",OpenAI,"San Francisco Bay Area, ▪ New York, NY, ▪ Seattle metro area, ▪ Remote, USA, ▪ ...","In this role, you'll design and build critical security services that form the backbone of OpenAI's supercomputing environment.
Architect production-grade security services providing strong guarantees across hardware, operating systems, and networks.
Partner with engineers to embed security into high-performance compute clusters.
Develop automation and detection tooling to identify and mitigate risks in cloud and on-prem environments.
Lead design reviews and threat models to ensure new systems launch with strong security foundations.",https://openai.com/careers/software-engineer-infrastructure-security-remote-us/
"Research Intern, Democratizing Foreign Policy Program",Quincy Institute for Responsible Statecraft,"Washington, DC, ▪ ...","In this role, you'll research Pentagon spending, global arms trade, and foreign influence on U.S. foreign policy as part of the Democratizing Foreign Policy program.
Research and write op-eds and blog posts on U.S. arms transfer policies and their consequences.
Investigate Pentagon contractors, military-industrial complex influence, and economic impacts of defense spending.
Conduct research on U.S. national security strategy to develop alternative approaches.
Collect and analyze data related to arms sales, foreign government lobbying, and defense contractors.",https://jobs.lever.co/quincyinst/30f1bef2-ce4d-4768-b5fb-4951d1a5810b
Machine Learning Security Researcher,Trail of Bits,"Remote, USA, ▪ ...","In this role, you'll conduct security research on machine learning systems to identify novel attack vectors and vulnerabilities for leading AI organizations.
Research adversarial machine learning techniques including model poisoning, data extraction attacks, and jailbreaks for foundation models.
Develop testing frameworks, evaluation methodologies, and open-source tools for AI/ML security research.
Create comprehensive threat models for emerging AI/ML deployment patterns.
Contribute to the AI/ML security community through papers, presentations, and open-source contributions.",https://apply.workable.com/j/11989286B9
Research Collaborators,"University of California, Center for Human-Compatible Artificial Intelligence","Remote, Global, ▪ San Francisco Bay Area, ▪ ...","This role requires collaboration on research that aligns with CHAI's mission across various disciplines.
Engage in interdisciplinary research spanning computer science, mathematics, robotics, cognitive psychology, and more.
Extend research into fields that analyse human value systems, such as moral philosophy, sociology, and law.
Participate in weekly research seminars if currently affiliated with UC Berkeley.
Undergraduates interested in graduate study should apply to UC Berkeley graduate programs and indicate interest in CHAI.",https://humancompatible.ai/jobs#research-collaborators
"Research Manager, Interpretability",Anthropic,"San Francisco Bay Area, ▪ ...","In this role, you'll manage a team of expert researchers and engineers working to understand how large language models work internally through mechanistic interpretability.
Partner with a research lead on direction, project planning, hiring, and people development.
Coach team members to increase their impact and develop their careers.
Drive recruiting efforts, including hiring planning and process improvements.
Facilitate collaboration across teams while maintaining deep understanding of technical work and its implications for AI safety.",https://boards.greenhouse.io/anthropic/jobs/4009173008
"Staff Security Engineer, Container and VM Security",Anthropic,"San Francisco Bay Area, ▪ New York, NY, ▪ ...","In this role, you'll design and implement sandboxing solutions that protect Anthropic's AI infrastructure from untrusted workloads while maintaining performance and usability.
Architect secure sandboxing systems using virtualization and container technologies like KVM, Firecracker, and OCI containers.
Develop expertise in Linux kernel isolation mechanisms to build defense-in-depth strategies against container escapes and VM breakouts.
Create comprehensive threat models for distributed systems and implement mitigations for potential security breaches.",https://boards.greenhouse.io/anthropic/jobs/4807626008
Software Engineer,Gray Swan,"Pittsburgh, PA, ▪ ...","In this role, you'll build and refine user interfaces, backend APIs, and database systems for an AI security company.
Design and develop web applications using modern frontend frameworks like Svelte.
Build intuitive interfaces while developing backend APIs using tools like FastAPI.
Manage and optimize database systems such as MongoDB.
Collaborate with ML research teams to integrate AI experiences into products.",https://app.dover.com/apply/Gray%20Swan%20AI/267fb0ad-ccf3-42cf-ba48-b91bf15d2908
NobleReach Scholars (2026),NobleReach Foundation,"USA, ▪ ...","In this role, you'll join the NobleReach Scholars Program connecting recent graduates with fully compensated tech roles in government and mission-driven organizations.
Work in strategic domains including AI, cybersecurity, business process innovation, or materials and manufacturing.
Receive a one-year fully compensated position plus an $18,000 stipend.
Participate in professional development bootcamp and ongoing mentorship opportunities.
Collaborate with a cohort of like-minded professionals to accelerate your career in public service.",https://noblereachfoundation.org/scholars-program/
"Security Engineer, Infrastructure Security",OpenAI,"San Francisco Bay Area, ▪ New York, NY, ▪ Seattle metro area, ▪ Remote, USA, ▪ ...","In this role, you'll design and build security controls across diverse infrastructure layers to defend against sophisticated adversaries and insider threats.
Collaborate with engineering teams to deploy security enhancements across broad-scale infrastructure.
Tackle high-impact projects like checkpoint encryption, network isolation, and secret management for AI workloads.
Secure cloud platforms, on-prem deployments, and datacenters from construction to multi-tenant use.
Implement container security, orchestration security, and authentication/authorization systems.",https://openai.com/careers/security-engineer-infrastructure-security-remote-us/
Full-Stack Engineer,Beneficial AI Foundation,"Remote, Global, ▪ Boston metro area, ▪ ...","In this role, you'll build features for the Beneficial AI Foundation's formal verification tools that aim to ensure AI safety.
Develop end-to-end web applications using PHP, MySQL, HTML/CSS/JS, and React.
Create responsive layouts and implement Figma designs for verilib.org.
Build both public-facing and internal features supporting AI-written verified code.
Contribute to a project focused on keeping powerful AI systems under human control.",https://docs.google.com/forms/d/e/1FAIpQLSdBREOw8eWFcPVsKyaA56UaBDrJlHr_XQ7e6i7V3oQE7JfliQ/viewform
Technology and Geopolitics Fellowship,"Harvard University, Belfer Center for Science and International Affairs","Boston metro area, ▪ ...","In this role, you'll conduct research at the intersection of technology and geopolitics as part of Harvard's ETSAGP program.
Research topics like U.S.-China tech competition, international tech regulation, AI, quantum sciences, or biological security.
Participate in building communities of practice that bridge science, technology, innovation, and policy.
Contribute to developing actionable policy recommendations that ensure emerging technologies advance security and prosperity.",https://www.belfercenter.org/fellowship/technology-and-geopolitics
International Security Program Fellowship,"Harvard University, Belfer Center for Science and International Affairs","Boston metro area, ▪ ...","In this fellowship, you'll conduct research focusing on international affairs and security issues.
Contribute to collaborative research activities within the Center while advancing your own doctoral dissertation or publication.
Maintain residence at Harvard for the full fellowship duration, with access to university libraries and facilities.
Participate in program activities under the guidance of program directors and faculty chair.
Produce academic output during your fellowship, such as completing a dissertation, book, monograph, or other publication.",https://www.belfercenter.org/fellowship/international-security-program-fellowship
Policy Analyst / Director,Encode,"Washington, DC, ▪ ...","In this role, you'll drive full-stack policy development across the organization, focusing on AI governance and public interest advocacy.
Draft legislative language, policy briefs, and talking points for lawmakers.
Build coalitions with stakeholders across government, industry, and civil society.
Conduct policy research and create communications materials under tight deadlines.
Support multiple concurrent projects, including emergency responses and time-sensitive policy opportunities.",https://docs.google.com/document/d/1UxruiF1jo5s956wbyRZp_SNrE1y4SNE0MF3-MkM5sqQ/edit?tab=t.0#heading=h.oqz3pmpx7801
"Research Engineer / Scientist, Alignment Science",Anthropic,"San Francisco Bay Area, ▪ New York, NY, ▪ Seattle metro area, ▪ ...","In this role, you'll build and run machine learning experiments to understand and steer the behavior of powerful AI systems, focusing on making AI helpful, honest, and harmless.
Contribute to exploratory research on AI safety, particularly addressing risks from powerful future systems.
Collaborate with teams on projects such as testing safety technique.
Design and implement evaluations to test models' reasoning abilities in safety-relevant contexts.
Contribute to research papers, blog posts, and experiments that feed into Anthropic's AI safety efforts.",https://boards.greenhouse.io/anthropic/jobs/4631822008
"ML Infrastructure Engineer, Safeguards",Anthropic,"San Francisco Bay Area, ▪ ...","In this role, you'll build and scale critical infrastructure that powers Anthropic's AI safety systems, working at the intersection of machine learning and distributed systems.
Design scalable ML infrastructure supporting real-time and batch safety evaluations across the model ecosystem.
Build monitoring tools to track model performance, data quality, and system health for safety-critical applications.
Collaborate with research teams to productionize safety research into robust, scalable systems.
Optimize inference latency and throughput for real-time safety evaluations.",https://boards.greenhouse.io/anthropic/jobs/4778843008
Policy Researcher,AI Futures Project,"San Francisco Bay Area, ▪ Washington, DC, ▪ ...","In this role, you'll conduct research and write policy memos to help reduce existential AI risk through the AI Futures Project's forward-looking policy research.
Contribute to developing strategy for addressing long-term AI safety concerns.
Research emerging AI technologies and their potential societal impacts.
Draft clear, concise policy recommendations for government stakeholders.
Collaborate with team members to produce high-quality futurism work that improves public and governmental situational awareness.",https://docs.google.com/document/d/1r5YKOUi6gMUZoZvAEh0tHbbHM9RKYk6ONEkw_Tpizb0/preview?tab=t.0
"Request for Startups, Explainable AI",Y Combinator,"San Francisco Bay Area, ▪ ...","Funding for building new interpretable models or tools.
Focus on ensuring AI model responses are explainable.
Work towards understanding model behavior.
Recognize contexts where trust in AI is paramount.
Contribute to society reaping full benefits of AI.",https://www.ycombinator.com/rfs#explainable-ai
